t,accCmpX,accCmpY,accCmpZ
454,-9.86719,2.1455,-16.4705
455,-9.88593,2.43932,-14.7058
456,-9.90592,2.58348,-12.7444
457,-9.92695,2.57582,-10.6805
458,-10.2862,-0.921705,-5.84983
459,-9.28083,-4.30361,-4.77614
460,-7.01526,-6.71354,-4.58687
461,-3.8145,-7.73484,-5.57672
462,-0.138051,-7.30511,-7.69881
463,1.99119,6.3416,-8.53641
464,3.98672,6.10654,-3.5823
465,5.75042,-5.47188,-2.25175
466,7.20764,-4.39941,-12.2257
467,8.30168,2.94753,-12.7792
468,9.12017,0.0170582,0.763846
469,6.40333,3.23771,-14.8345
470,1.23426,-9.13143,-8.12834
471,-4.48469,8.47371,-9.81199
472,-8.79834,-3.51658,-2.34816
473,-10.3593,-0.217226,-18.6131
474,-10.452,0.539326,-17.9595
475,-10.08,2.54178,-11.5832
476,-9.42631,3.08061,-5.60549
477,-8.47598,0.476835,-3.40712
478,-7.22707,-4.47352,-5.57499
479,-4.39474,-5.56489,-6.79967
480,-1.18717,-6.24321,-9.44266
481,2.07514,-6.23783,-12.0018
482,5.0257,-5.50106,-14.2089
483,7.33194,-4.08935,-15.8478
484,9.0128,-0.05401,-20.1684
485,6.46411,-1.16895,-17.9691
486,0.779054,-5.53626,-12.1025
487,-5.55686,-7.54247,-8.29668
488,-9.43221,-2.92675,-18.8742
489,-10.5962,-0.978715,-16.6853
490,-8.8504,-3.40573,-4.67835
491,-4.82261,7.18835,-9.45822
492,0.264368,4.4889,-10.6163
493,2.72888,5.64203,-9.54088
494,4.93779,5.85,-8.59522
495,6.78667,5.12375,-8.51777
496,8.1456,3.53081,-9.24088
497,8.90993,1.29183,-10.5494
498,9.01344,-1.26102,-12.1213
499,9.02034,-0.245666,-1.72658
500,9.03089,0.541704,-3.34248
501,9.04251,0.553295,-13.5913
502,9.05181,0.115675,-20.394
503,7.83012,4.07515,-15.509
504,4.56939,8.04124,-9.31308
505,-0.026356,4.24638,-10.1099
506,-4.86845,-3.49386,-14.5319
507,-8.71883,-5.34239,-13.1607
508,-10.5077,-0.722865,-5.75763
509,-10.4519,-0.455123,-14.0288
510,-10.4615,0.264204,-18.9962
511,-10.4684,0.787885,-14.0431
512,-10.4734,0.706243,-4.16722
513,-10.4768,0.252241,0.584353
514,-10.2839,0.962411,-1.64987
515,-9.4331,3.64432,-5.11682
516,-9.42957,4.31052,-7.44374
517,-9.48512,4.36097,-10.2668
518,-10.4186,-0.373711,-21.1168
519,-8.88204,4.90805,-11.1793
520,-5.26671,-0.465978,-6.69185
521,0.585878,-9.5515,-9.06224
522,5.98762,4.11627,-4.24333
523,6.90883,4.89496,-2.52796
524,7.70798,4.66936,-3.15639
525,7.6112,1.53011,-0.149224
526,7.48788,-2.371,-0.646971
527,7.3491,-5.34893,-4.69446
528,7.19228,-5.82083,-10.1843
529,6.38914,-5.48313,-10.7081
530,7.85664,-2.73234,-18.2502
531,8.85471,-0.277576,-20.7404
532,9.171,0.133971,-20.8764
533,5.95426,4.03528,-14.9628
534,-1.92906,9.21919,-9.88081
535,-2.94714,5.22273,-8.59111
536,-3.87632,-3.78108,-9.65084
537,-4.75949,-8.72058,-7.0417
538,-3.77688,-8.25148,-10.8101
539,-2.59882,-6.94555,-10.8346
540,-5.29595,-7.47311,-7.38147
541,-7.62781,0.685557,-2.30357
542,-7.86455,0.440279,-1.66568
543,-8.11741,0.313571,-1.40589
544,-8.35794,0.19809,-1.16055
545,-9.32591,-1.7197,-1.42801
546,-9.93046,-1.8609,-2.96199
547,-10.1939,0.086481,-10.4359
548,-10.1143,1.02461,-5.73999
549,-9.80124,-2.94528,-3.69681
550,-10.3901,-0.198063,-20.84
551,-10.266,-1.63479,-5.3901
552,-8.78694,-4.15024,-2.05535
553,-6.19662,-5.70341,-3.4257
554,-2.75308,-6.11934,-5.81671
555,1.06422,4.67906,-10.5395
556,4.81403,-2.80278,-16.9073
557,5.89516,-7.05025,-9.91298
558,6.93282,-3.21488,-2.83057
559,7.0859,-5.5622,-7.87273
560,7.19259,-5.88181,-12.1596
