t,velX,velY,velZ,velAir,vel
337,0.871821,0.145021,-1.7284,17.9931,17.9931
338,0.842164,0.179302,-1.71838,17.9693,17.9693
339,0.803361,0.205899,-1.69799,17.9075,17.9075
340,0.407883,-0.483722,-1.35141,15.6006,15.6006
341,-0.171483,-0.893239,-1.00798,13.8693,13.8693
342,0.419808,0.772879,-1.0399,18.7957,18.7957
343,0.839943,-0.344288,-0.349996,18.3365,18.3365
344,0.750415,-0.605451,-0.916124,16.9395,16.9395
345,0.613732,-0.508225,-1.30935,16.2382,16.2382
346,0.448868,-0.0170863,-1.30222,16.6093,16.6093
347,0.31084,-0.279249,-1.27263,15.7428,15.7428
348,0.164579,-0.563677,-1.10389,15.0422,15.0422
349,0.0139318,-0.797593,-0.967743,14.4787,14.4787
350,-0.400976,-0.43429,-0.610354,14.6712,14.6712
351,-0.749583,-0.0175637,-0.226775,15.6116,15.6116
352,-0.760079,0.376515,-0.260681,16.5026,16.5026
353,-0.779206,0.593119,-0.587394,16.6034,16.6034
354,-0.934347,0.18741,-0.108962,16.0912,16.0912
355,-1.01374,-0.0316482,-0.0541819,15.6099,15.6099
356,-1.01727,0.149581,-0.637284,14.9874,14.9874
357,-0.978583,0.271082,-0.548757,15.4848,15.4848
358,-0.939024,0.343734,-0.436155,15.9051,15.9051
359,-0.725427,0.317063,-0.367129,16.2047,16.2047
360,-0.381702,-0.0106122,-0.642537,15.4945,15.4945
361,0.0166958,-0.458159,-1.03349,14.9268,14.9268
362,-0.637534,-0.718543,-1.37778,12.788,12.788
363,-1.00049,0.0453446,-1.87409,13.4334,13.4334
364,-0.999154,-0.184353,-1.66962,13.018,13.018
365,-0.853926,-0.541907,-1.35085,12.7758,12.7758
366,-0.589924,-0.840414,-1.08559,13.0156,13.0156
367,-0.818588,0.471994,-1.71575,15.0282,15.0282
368,-0.207658,-0.386987,-1.3996,14.1764,14.1764
369,0.494927,-0.806943,-1.31021,15.4405,15.4405
370,0.896926,-0.0538626,-2.19602,17.4462,17.4462
371,0.764596,-0.436353,-1.73593,16.5472,16.5472
372,0.158337,-0.779288,-1.13797,14.6733,14.6733
373,-0.581957,0.218764,-1.76695,14.5795,14.5795
374,-0.202276,-1.00258,-1.11324,13.5297,13.5297
375,0.187501,-0.0250864,-1.34014,15.8636,15.8636
376,0.532007,0.733222,-0.999062,18.9963,18.9963
377,0.782693,-0.195882,-0.295026,18.4619,18.4619
378,0.909633,-0.185087,-1.5291,17.62,17.62
379,0.945671,0.0462073,-1.48299,18.2109,18.2109
380,0.935311,-0.0885924,-0.236156,19.2399,19.2399
381,0.905766,0.131961,0.30688,20.5094,20.5094
382,0.861668,0.426033,-0.832425,19.2932,19.2932
