t,velX,velY,velZ,velAir,vel
7588,-1.07104,-0.401119,-0.821539,13.413,13.413
7589,0.669723,-0.272424,-1.63641,16.554,16.554
7590,0.782083,-0.0924638,-1.81958,17.1489,17.1489
7591,0.799895,-0.0138279,-1.87173,17.334,17.334
7592,0.782344,0.00967188,-1.87445,17.3187,17.3187
7593,0.742268,0.0197639,-1.8359,17.2241,17.2241
7594,0.71756,-0.0476003,-1.77432,17.0419,17.0419
7595,0.691979,-0.128548,-1.72755,16.8292,16.8292
7596,0.777039,0.0653671,-1.88514,17.4088,17.4088
7597,0.377997,0.255048,-1.49424,16.8757,16.8757
7598,-0.305964,0.342993,-0.846051,16.2283,16.2283
7599,-0.889502,0.387769,-0.280091,16.3454,16.3454
7600,-1.15547,0.0722125,-0.201924,15.3936,15.3936
7601,-1.14455,0.186629,-0.392035,15.3378,15.3378
7602,-1.10009,0.334675,-0.556255,15.5166,15.5166
7603,-1.03462,0.48433,-0.721586,15.7909,15.7909
7604,-0.765273,0.771869,-0.944308,16.7795,16.7795
7605,-0.406158,0.90644,-0.993439,17.6955,17.6955
7606,-0.0102537,0.831581,-0.855327,18.2354,18.2354
7607,0.605747,0.54925,-0.871506,18.7927,18.7927
7608,0.807363,-0.116375,-1.14476,17.677,17.677
7609,0.731411,-0.270186,-1.82328,16.6495,16.6495
7610,0.575244,-0.00620139,-1.87426,16.6085,16.6085
7611,0.489272,-0.716731,-1.00865,15.8405,15.8405
7612,0.383314,-0.383713,-0.344398,16.9069,16.9069
7613,0.263445,0.663259,-0.563479,18.6029,18.6029
7614,0.370017,0.35435,-0.375302,18.2804,18.2804
7615,0.465934,0.0179996,-0.223172,18.029,18.029
7616,0.789487,-0.140301,-1.22625,17.5021,17.5021
7617,0.676259,-0.147847,-1.87509,16.6529,16.6529
7618,0.754842,0.255052,-1.3727,18.0748,18.0748
7619,0.794757,0.0270632,-0.123597,19.1615,19.1615
7620,0.78055,0.144964,-0.443817,18.8645,18.8645
7621,0.399368,0.788853,-0.629901,19.2168,19.2168
7622,-0.327502,0.833201,-0.573307,18.0295,18.0295
7623,0.336487,-0.00548674,-0.689911,16.967,16.967
7624,0.75397,-0.292374,-1.61977,16.8178,16.8178
7625,0.789225,0.0795694,-0.65918,18.4881,18.4881
7626,0.64927,0.0425646,-0.287727,18.4865,18.4865
7627,0.362497,-0.616427,-0.730005,15.94,15.94
7628,0.774315,-0.287119,-0.808432,17.6094,17.6094
7629,0.760625,0.138515,-1.46782,17.7666,17.7666
7630,0.784191,0.189687,-0.920536,18.4145,18.4145
7631,0.802287,-0.000211978,-0.12771,19.1285,19.1285
7632,0.799102,0.0905738,-0.928199,18.2492,18.2492
7633,0.629006,0.260035,-0.212425,18.9923,18.9923
7634,0.262611,-0.355163,-0.523256,16.3622,16.3622
7635,0.65874,-0.520667,-0.617289,17.1104,17.1104
7636,0.813627,-0.0275374,-1.44218,17.6259,17.6259
7637,0.732174,0.326841,-1.02381,18.4587,18.4587
7638,0.524996,0.321137,-0.55424,18.3555,18.3555
7639,0.203551,-0.336667,-0.806915,15.8588,15.8588
7640,0.337342,0.0627491,-0.624117,17.1951,17.1951
7641,0.462343,0.367003,-0.590464,18.2526,18.2526
7642,0.788372,0.201863,-0.663312,18.7316,18.7316
7643,0.726991,-0.279889,-1.419,16.8903,16.8903
7644,0.326559,0.119598,-1.26994,16.5986,16.5986
7645,0.628961,-0.523828,-1.30085,16.2723,16.2723
7646,0.789271,-0.0953975,-0.211157,18.7831,18.7831
7647,0.525139,-0.247032,-0.592551,17.1606,17.1606
7648,0.0276042,-0.0963998,-1.04828,15.6148,15.6148
7649,0.123315,-0.792299,-0.488774,15.4249,15.4249
7650,0.193425,-0.841346,-0.773322,15.1217,15.1217
7651,0.264534,-0.213542,-1.05452,15.9534,15.9534
7652,0.65187,-0.511284,-1.17702,16.4774,16.4774
7653,0.806266,-0.0216291,-0.305388,18.8229,18.8229
7654,0.707438,-0.287364,-0.599643,17.6415,17.6415
7655,0.503491,-0.454006,-0.693054,16.6319,16.6319
7656,0.65741,-0.544035,-0.833086,16.806,16.806
7657,0.749611,-0.128465,-1.55256,17.1378,17.1378
7658,0.799966,0.0587823,-1.35998,17.8108,17.8108
7659,0.794426,-0.0426343,-1.92776,17.2282,17.2282
7660,0.797399,-0.0196539,-0.819573,18.1412,18.1412
7661,0.796031,-0.00376461,-0.105619,19.1393,19.1393
7662,0.740372,0.0154734,-0.343487,18.6267,18.6267
7663,0.569959,0.132315,-0.530663,18.0908,18.0908
7664,0.811304,0.107531,-0.742036,18.5205,18.5205
7665,0.46844,-0.317122,-1.19971,16.1915,16.1915
7666,-0.249185,-0.651707,-0.694262,14.4773,14.4773
7667,-0.176693,-0.929771,-1.11009,13.6855,13.6855
7668,-0.557,-0.878935,-1.15299,12.9351,12.9351
7669,-0.875066,-0.685258,-1.03181,12.8694,12.8694
7670,-1.0951,-0.397254,-0.932292,13.2342,13.2342
7671,-1.04403,0.270698,-1.41022,14.3792,14.3792
7672,-0.322784,-0.547475,-0.864281,14.2586,14.2586
7673,-0.291526,0.840985,-1.25737,17.3972,17.3972
7674,-0.225474,0.393266,-1.19599,16.1405,16.1405
7675,-0.149294,-0.932011,-1.23495,13.604,13.604
7676,-0.965189,-0.482339,-0.643838,13.6676,13.6676
7677,-1.15724,0.0858219,-0.300665,15.2366,15.2366
7678,-0.822095,0.345598,-0.0845278,16.6715,16.6715
7679,-0.295554,0.498812,-0.549247,17.0622,17.0622
7680,0.172508,0.820338,-1.28689,18.1732,18.1732
7681,0.572599,-0.0541738,-0.603716,17.6307,17.6307
7682,0.756961,-0.152584,-1.1624,17.4251,17.4251
7683,0.784921,0.104255,0.305592,20.0845,20.0845
7684,0.751049,0.339104,-0.973462,18.5937,18.5937
