timestamp(ms),GPS_RAW_INT.vel
1191809.8220214844,2587
1191909.8220214844,2587
1192009.8220214844,2588
1192109.8220214844,2588
1192209.8220214844,2588
1192309.8220214844,2602
1192409.8220214844,2602
1192509.8220214844,2602
1192609.8220214844,2601
1192709.8220214844,2601
1192809.8220214844,2611
1192909.8220214844,2611
1193009.8220214844,2602
1193109.8220214844,2602
1193209.8220214844,2602
1193309.8220214844,2598
1193409.8220214844,2598
1193509.8220214844,2601
1193609.8220214844,2601
1193709.8220214844,2601
1193809.8220214844,2601
1193909.8220214844,2585
1194009.8220214844,2583
1194109.8220214844,2583
1194209.8220214844,2583
1194309.8220214844,2569
1194409.8220214844,2569
1194509.8220214844,2563
1194609.8220214844,2563
1194709.8220214844,2563
1194809.8220214844,2557
1194909.8220214844,2557
1195009.8220214844,2557
1195109.8220214844,2544
1195209.8220214844,2544
1195309.8220214844,2539
1195409.8220214844,2539
1195509.8220214844,2537
1195609.8220214844,2537
1195709.8220214844,2545
1195809.8220214844,2545
1195909.8220214844,2545
1196009.8220214844,2543
1196109.8220214844,2543
1196209.8220214844,2543
1196309.8220214844,2539
1196409.8220214844,2539
1196509.8220214844,2539
1196609.8220214844,2539
1196709.8220214844,2539
1196809.8220214844,2538
1196909.8220214844,2538
1197009.8220214844,2538
1197109.8220214844,2550
1197209.8220214844,2550
1197309.8220214844,2561
1197409.8220214844,2561
1197509.8220214844,2569
1197609.8220214844,2569
1197709.8220214844,2569
1197809.8220214844,2577
1197909.8220214844,2577
1198009.8220214844,2577
1198109.8220214844,2593
1198209.8220214844,2593
1198309.8220214844,2602
1198409.8220214844,2602
1198509.8220214844,2602
1198609.8220214844,2608
1198709.8220214844,2608
1198809.8220214844,2608
1198909.8220214844,2611
1199009.8220214844,2611
1199109.8220214844,2613
1199209.8220214844,2613
1199309.8220214844,2613
1199409.8220214844,2612
1199509.8220214844,2612
1199609.8220214844,2603
1199709.8220214844,2603
1199809.8220214844,2603
1199909.8220214844,2600
1200009.8220214844,2600
1200109.8220214844,2600
1200209.8220214844,2600
1200309.8220214844,2600
1200409.8220214844,2599
1200509.8220214844,2599
1200609.8220214844,2589
1200709.8220214844,2589
1200809.8220214844,2588
1200909.8220214844,2588
1201009.8220214844,2588
1201109.8220214844,2595
1201209.8220214844,2595
1201309.8220214844,2601
1201409.8220214844,2601
1201509.8220214844,2601
1201609.8220214844,2607
1201709.8220214844,2607
1201809.8220214844,2607
1201909.8220214844,2609
1202009.8220214844,2609
1202109.8220214844,2617
1202209.8220214844,2617
1202309.8220214844,2618
1202409.8220214844,2618
1202509.8220214844,2618
1202609.8220214844,2626
1202709.8220214844,2626
1202809.8220214844,2635
1202909.8220214844,2635
1203009.8220214844,2635
1203109.8220214844,2652
1203209.8220214844,2652
1203309.8220214844,2661
1203409.8220214844,2661
1203509.8220214844,2661
1203609.8220214844,2659
1203709.8220214844,2659
1203809.8220214844,2664
1203909.8220214844,2664
1204009.8220214844,2664
1204109.8220214844,2668
1204209.8220214844,2668
1204309.8220214844,2668
1204409.8220214844,2667
1204509.8220214844,2667
1204609.8220214844,2661
1204709.8220214844,2661
1204809.8220214844,2661
1204909.8220214844,2658
1205009.8220214844,2658
1205109.8220214844,2660
1205209.8220214844,2660
1205309.8220214844,2658
1205409.8220214844,2658
1205509.8220214844,2658
1205609.8220214844,2653
1205709.8220214844,2653
1205809.8220214844,2648
1205909.8220214844,2648
1206009.8220214844,2648
1206109.8220214844,2648
1206209.8220214844,2641
1206309.8220214844,2641
1206409.8220214844,2638
1206509.8220214844,2639
1206609.8220214844,2639
1206709.8220214844,2639
1206809.8220214844,2643
1206909.8220214844,2643
1207009.8220214844,2643
1207109.8220214844,2634
1207209.8220214844,2634
1207309.8220214844,2618
1207409.8220214844,2618
1207509.8220214844,2616
1207609.8220214844,2616
1207709.8220214844,2616
1207809.8220214844,2610
1207909.8220214844,2610
1208009.8220214844,2610
1208109.8220214844,2610
1208209.8220214844,2610
1208309.8220214844,2611
1208409.8220214844,2611
1208509.8220214844,2611
1208609.8220214844,2610
1208709.8220214844,2610
1208809.8220214844,2616
1208909.8220214844,2616
1209009.8220214844,2616
1209109.8220214844,2621
1209209.8220214844,2621
1209309.8220214844,2621
1209409.8220214844,2621
1209509.8220214844,2621
1209609.8220214844,2615
1209709.8220214844,2615
1209809.8220214844,2615
1209909.8220214844,2622
1210009.8220214844,2622
1210109.8220214844,2625
1210209.8220214844,2625
1210309.8220214844,2625
1210409.8220214844,2624
1210509.8220214844,2624
1210609.8220214844,2620
