timestamp(ms),NAV_CONTROLLER_OUTPUT.target_bearing
305955.30712890625,
306055.30712890625,
306155.30712890625,
306255.30712890625,
306355.30712890625,
306455.30712890625,
306555.30712890625,
306655.30712890625,
306755.30712890625,
306855.30712890625,
306955.30712890625,
307055.30712890625,
307155.30712890625,
307255.30712890625,
307355.30712890625,
307455.30712890625,
307555.30712890625,
307655.30712890625,
307755.30712890625,
307855.30712890625,
307955.30712890625,
308055.30712890625,
308155.30712890625,
308255.30712890625,
308355.30712890625,
308455.30712890625,
308555.30712890625,
308655.30712890625,
308755.30712890625,
308855.30712890625,
308955.30712890625,
309055.30712890625,
309155.30712890625,
309255.30712890625,
309355.30712890625,
309455.30712890625,
309555.30712890625,
309655.30712890625,
309755.30712890625,
309855.30712890625,
309955.30712890625,
310055.30712890625,
310155.30712890625,
310255.30712890625,
310355.30712890625,
310455.30712890625,
310555.30712890625,
310655.30712890625,
310755.30712890625,
310855.30712890625,
310955.30712890625,
311055.30712890625,
311155.30712890625,
311255.30712890625,
311355.30712890625,
311455.30712890625,
311555.30712890625,
311655.30712890625,
311755.30712890625,
311855.30712890625,
311955.30712890625,
312055.30712890625,
312155.30712890625,
312255.30712890625,
312355.30712890625,
312455.30712890625,
312555.30712890625,
312655.30712890625,
312755.30712890625,
312855.30712890625,
312955.30712890625,
313055.30712890625,
313155.30712890625,
313255.30712890625,
313355.30712890625,
313455.30712890625,
313555.30712890625,
313655.30712890625,
