t,accCmpX,accCmpY,accCmpZ
617,-6.59618,3.31073,-9.04851
618,-5.67615,3.15115,-19.058
619,0.386841,-7.12719,-12.8017
620,8.11443,-6.31456,-14.8047
621,12.3565,0.586946,-19.623
622,6.2005,-8.15162,-10.1647
623,-5.50958,1.11268,-19.5124
624,-3.79015,-6.50485,-13.8268
625,9.18679,-5.61024,-15.1419
626,8.28993,-1.89888,-16.0139
627,-6.50898,-3.66065,-8.75785
628,1.31945,5.74436,-11.4868
629,12.4669,0.598713,-2.1944
630,-0.610943,8.96193,-12.6687
631,-4.07279,7.05748,-9.83297
632,-6.37888,3.53182,-6.88821
633,-5.97453,-2.23773,-3.05364
634,0.797029,2.21602,-8.79512
635,9.02103,6.15392,-14.2346
636,8.56293,-7.71732,-10.6932
637,-6.30528,-3.8699,-12.7466
638,-1.22407,7.80023,-11.9927
639,11.7698,2.74872,-3.03355
640,6.06639,-3.96612,-6.82143
641,-3.96939,-3.73671,-14.8492
642,-6.90391,1.43947,-17.0028
643,0.342222,6.1095,-10.9735
644,12.4729,-0.65666,-3.37654
645,-1.13411,-8.2779,-10.8413
646,-6.86813,2.63712,-9.45428
647,3.79444,9.33729,-9.3836
648,12.4178,0.246975,-15.3608
649,7.54796,-4.94154,-13.0129
650,-2.4172,-3.11208,-4.3622
651,-2.8208,-2.69221,-4.26915
652,-3.1908,-2.25268,-3.83533
653,-6.61162,-0.556168,0.616662
654,-6.65806,0.321681,0.796785
655,-1.59519,0.179008,-5.17383
656,6.16634,-0.77927,-12.9137
657,11.7678,-0.564796,-18.327
658,11.2442,2.82672,-15.9882
659,3.87584,8.11562,-9.59638
660,-4.37173,6.59627,-7.47409
661,-4.93902,6.29797,-8.80525
662,-5.3912,5.70225,-9.81419
663,-4.87936,6.21897,-10.6592
664,-4.31018,6.63266,-11.4527
665,-3.68924,6.83531,-12.0473
666,-5.19984,5.6339,-12.9859
667,-6.31825,3.79254,-13.5751
668,-7.05073,-0.035508,-12.56
669,-6.14381,-3.76394,-11.5418
670,-4.9618,-5.79381,-11.6439
671,-3.33743,-7.48722,-10.4988
672,-2.88842,-7.73925,-11.0926
673,-2.49627,-7.6665,-11.8702
674,-2.09153,-7.33796,-12.4748
675,-4.15018,-6.22539,-12.013
676,-5.68489,-4.6078,-11.6424
677,-1.88045,-8.24272,-10.5734
678,3.21419,-9.34436,-9.25441
679,8.17653,-7.76417,-7.96126
680,10.9258,-4.90375,-7.70687
681,12.3798,-1.3939,-7.30982
682,8.74873,-7.49118,-7.51779
683,1.9659,-9.44836,-9.22073
684,-2.22255,-8.17764,-8.23282
685,-5.3774,-4.70388,-5.07726
686,-7.00245,-0.825906,-1.57361
687,1.36165,-7.57783,-8.54011
688,11.5888,-3.9303,-13.1327
689,6.56281,-7.85785,-11.1831
690,-0.13817,-7.91779,-7.96632
691,-5.46052,-4.26725,-5.00395
692,-5.83382,3.8763,-3.34509
693,2.38835,7.96536,-8.05606
694,0.413625,7.37704,-7.72917
695,-1.35749,6.57948,-6.41012
696,4.93511,5.90392,-10.6701
697,10.2748,3.03795,-15.7275
698,12.7083,0.554268,-18.5447
699,9.92821,0.102671,-16.3631
700,2.50021,2.21825,-8.94227
701,-1.85668,3.2648,-4.37861
702,-5.26393,2.85863,-1.60837
703,-6.83313,0.95952,-0.885689
704,-6.39472,2.01699,-1.21065
705,-5.22015,2.78915,-1.93905
706,-4.71634,0.851405,-1.077
707,-4.38734,-1.20077,-1.46183
708,-6.63546,-0.280681,0.428917
709,-6.71504,0.359587,0.54945
710,-5.46191,0.0585091,-1.33668
711,-3.44163,-0.929625,-3.41824
712,-0.759859,-2.312,-6.17211
713,-3.62571,-2.05123,-2.63339
714,-5.70765,-1.37389,-0.678087
715,-6.95358,0.372618,-1.0034
716,-5.98083,2.37068,-2.21572
717,-3.10563,4.55675,-5.03332
718,-5.78328,3.24949,-2.00972
719,-6.90251,0.70429,-2.07651
720,-6.21431,-2.67782,-3.51841
721,-5.75562,-4.31915,-6.96649
722,-2.62296,-7.5088,-7.08637
723,1.65981,-8.73183,-8.72874
724,6.21214,-8.00769,-10.974
725,8.53955,-7.21317,-11.4251
726,10.4848,-5.78515,-11.1077
727,2.65661,-9.07033,-9.30362
728,-5.0609,-5.01126,-6.89255
729,-6.36635,3.20186,-6.1762
730,-6.75779,1.80272,-3.084
731,-6.91767,0.745007,-0.984724
732,0.863951,4.90163,-6.997
733,11.4857,2.10407,-16.7167
734,10.3368,-1.48896,-15.9384
735,6.40472,-0.23132,-12.6115
736,1.78526,1.90999,-8.01394
737,-2.58121,3.34058,-4.07363
738,11.3399,1.9222,-17.1096
