t,velX,velY,velZ,velAir,vel
7440,-0.572665,0.781056,-0.732513,17.2992,17.2992
7441,-0.953989,0.21077,-0.411306,15.5739,15.5739
7442,-0.871691,-0.311386,-0.274294,14.7622,14.7622
7443,-0.36657,-0.459122,-0.56727,14.7579,14.7579
7444,0.315845,-0.248522,-1.18413,15.8953,15.8953
7445,0.760822,0.0579891,-1.72511,17.4297,17.4297
7446,0.969065,0.0429039,-1.82269,18.0844,18.0844
7447,0.868693,-0.344885,-1.51936,17.2111,17.2111
7448,0.492722,-0.810938,-1.10813,15.6237,15.6237
7449,-0.0398884,-0.979758,-0.964579,14.1146,14.1146
7450,-0.476134,-0.806573,-1.09667,13.2598,13.2598
7451,-0.814581,-0.459463,-1.37072,12.9712,12.9712
7452,-0.974131,-0.0758439,-1.62801,13.3468,13.3468
7453,-0.92011,0.189566,-1.72188,14.0429,14.0429
7454,-0.635236,0.353039,-1.57732,15.0206,15.0206
7455,-0.187311,0.427494,-1.19368,16.3105,16.3105
7456,0.308644,0.37953,-0.749702,17.7036,17.7036
7457,0.725353,0.238867,-0.361976,19.0039,19.0039
7458,0.95597,0.0566443,-0.136113,19.7228,19.7228
7459,0.941207,-0.111993,-0.137445,19.3767,19.3767
7460,0.915105,-0.083269,-0.0795201,19.4319,19.4319
7461,0.912355,-0.0615765,-0.0664024,19.4817,19.4817
7462,0.909548,-0.0380855,-0.0597591,19.5239,19.5239
7463,0.906632,-0.0130326,-0.0596557,19.558,19.558
7464,0.903657,0.0135301,-0.0659908,19.5845,19.5845
7465,0.88951,-0.117012,-0.244992,19.0223,19.0223
7466,0.456301,-0.380163,-0.691193,16.6124,16.6124
7467,0.920836,-0.199435,-0.589347,18.5169,18.5169
7468,0.780617,0.530207,-1.21118,18.9576,18.9576
7469,0.125465,0.54828,-1.13646,17.3438,17.3438
7470,0.188724,0.391384,-1.21275,16.979,16.979
7471,0.258213,0.202256,-1.29451,16.5957,16.5957
7472,-0.0335075,0.256761,-0.96905,16.3789,16.3789
7473,-0.331967,0.29114,-0.683353,16.2505,16.2505
7474,-0.0572529,0.508027,-0.965825,17.0152,17.0152
7475,0.204034,0.68371,-1.15406,17.9096,17.9096
7476,0.449528,0.747302,-1.23114,18.6285,18.6285
7477,0.68503,0.657794,-1.15171,19.067,19.067
7478,0.856352,0.453691,-1.05552,19.134,19.134
7479,0.958593,-0.0225376,-0.943942,18.568,18.568
7480,0.81074,-0.499643,-0.838659,17.3797,17.3797
7481,0.445345,-0.826939,-0.815086,15.7916,15.7916
7482,0.0528659,-0.860726,-0.942549,14.52,14.52
7483,-0.352976,-0.652793,-1.21278,13.6031,13.6031
7484,-0.360515,-0.50457,-1.23875,13.8112,13.8112
7485,-0.368423,-0.338716,-1.27769,14.0635,14.0635
7486,-0.547536,-0.094168,-1.54684,14.0116,14.0116
7487,-0.710205,0.10458,-1.70434,14.1183,14.1183
7488,-0.841858,0.212873,-1.77203,14.1764,14.1764
7489,-0.750598,0.475023,-1.49426,15.2946,15.2946
7490,-0.641546,0.709115,-1.20854,16.4576,16.4576
7491,-0.82564,0.564061,-0.833516,16.1363,16.1363
7492,-0.945137,0.30116,-0.457423,15.7474,15.7474
7493,-0.347938,0.922872,-0.959602,17.8768,17.8768
7494,0.484973,0.817699,-0.898556,19.2317,19.2317
7495,0.938324,0.111175,-0.488771,19.2589,19.2589
7496,0.698241,0.61231,-0.67069,19.4408,19.4408
7497,0.189808,0.930614,-0.903838,18.924,18.924
7498,0.229814,0.922522,-0.845024,19.0389,19.0389
7499,0.268437,0.910917,-0.834147,19.0936,19.0936
7500,0.306408,0.897903,-0.823281,19.1445,19.1445
7501,0.907767,0.114199,-0.336451,19.3662,19.3662
7502,0.803596,0.161546,-0.394003,19.0393,19.0393
7503,0.946622,-0.0103002,-0.0959873,19.6364,19.6364
7504,0.780523,-0.327224,-0.298516,18.2426,18.2426
7505,0.346807,-0.626507,-0.680345,15.9484,15.9484
7506,0.260913,-0.771842,-0.79347,15.3651,15.3651
7507,-0.0294948,-0.712595,-1.01703,14.4365,14.4365
7508,-0.321562,-0.56014,-1.2543,13.7755,13.7755
7509,-0.585574,-0.366919,-1.5172,13.3835,13.3835
7510,-0.683583,-0.153358,-1.57244,13.6309,13.6309
7511,-0.778425,0.0100873,-1.68486,13.7879,13.7879
7512,-0.857122,0.12271,-1.74,13.9291,13.9291
7513,-0.752442,0.188528,-1.66357,14.3138,14.3138
7514,-0.618242,0.263561,-1.52501,14.8303,14.8303
7515,-0.587172,0.50006,-1.34302,15.7293,15.7293
7516,-0.513707,0.719228,-1.16997,16.7067,16.7067
7517,-0.437773,0.865139,-1.00973,17.4826,17.4826
7518,-0.434805,0.783049,-0.653653,17.5961,17.5961
7519,-0.425303,0.253555,-0.493299,16.2703,16.2703
7520,-1.01983,-0.205729,-0.165859,15.0056,15.0056
7521,-0.884446,0.535686,-1.04719,15.7329,15.7329
7522,-0.132269,0.233893,-0.877247,16.2259,16.2259
7523,-0.13935,-0.735064,-0.863365,14.3471,14.3471
7524,-0.13948,-0.924137,-0.806492,14.1655,14.1655
7525,0.169616,0.0497705,-0.975575,16.3352,16.3352
7526,0.458277,0.788236,-0.852851,19.1169,19.1169
7527,-0.238739,0.889379,-0.869064,18.0205,18.0205
7528,-0.849685,0.292396,-1.48021,14.6219,14.6219
7529,-1.01962,-0.13855,-1.63196,13.1314,13.1314
7530,-1.07509,0.00956595,-1.01373,14.059,14.059
7531,-1.01222,0.264619,-0.209205,16.0066,16.0066
7532,-0.838865,0.145883,-0.0873855,16.1453,16.1453
7533,-0.575987,-0.327187,-0.358161,14.9936,14.9936
7534,-1.07347,0.101848,-0.269072,15.4213,15.4213
7535,-0.290531,0.915178,-0.773888,18.1335,18.1335
7536,-0.878008,0.588266,-0.962183,16.0026,16.0026
7537,-1.08795,-0.0601519,-0.908207,14.0087,14.0087
7538,-0.821249,-0.688995,-0.847811,13.198,13.198
7539,0.442925,-0.823487,-0.896695,15.6893,15.6893
7540,0.783413,0.398025,-0.926686,18.8811,18.8811
7541,-0.369905,0.928932,-0.838997,17.9909,17.9909
7542,-1.01567,0.423278,-0.665644,15.7034,15.7034
7543,-1.00454,-0.370725,-0.551984,13.9782,13.9782
7544,-1.09249,0.0975756,-0.778793,14.5663,14.5663
7545,-0.854962,0.616062,-0.956556,16.1272,16.1272
7546,-0.949886,0.468319,-0.795537,15.7394,15.7394
7547,-1.0159,0.280354,-0.494956,15.5518,15.5518
7548,-1.06559,0.0997196,-0.250376,15.4597,15.4597
7549,-0.525221,0.519059,-0.641977,16.6394,16.6394
7550,0.282021,0.591842,-1.27648,17.7084,17.7084
7551,0.0900449,0.109712,-1.26026,16.0028,16.0028
7552,-0.108618,-0.44793,-1.06027,14.6291,14.6291
7553,-1.01648,0.445664,-0.844162,15.5348,15.5348
7554,0.67804,0.439799,-0.609441,19.0048,19.0048
7555,-0.0959835,-0.0772655,-1.02223,15.4138,15.4138
7556,0.796526,-0.0718107,0.0380571,19.2746,19.2746
7557,0.432673,0.38206,-0.354587,18.5338,18.5338
7558,0.0834891,0.377364,-0.909097,17.0031,17.0031
7559,-0.294655,0.357455,-1.24981,15.8649,15.8649
7560,-0.717725,0.3033,-1.57437,14.7574,14.7574
7561,-1.01841,0.160412,-1.84325,13.7476,13.7476
7562,-1.1291,-0.0316808,-1.93889,13.0242,13.0242
7563,-1.04537,-0.255766,-1.71553,12.7536,12.7536
7564,-0.791967,-0.544451,-1.442,12.7721,12.7721
7565,-0.957273,-0.168009,-1.77116,13.031,13.031
7566,-1.07027,0.0660053,-1.89398,13.387,13.387
7567,-1.12832,0.0702691,-1.73048,13.4488,13.4488
7568,-0.598086,-0.698511,-1.36653,12.9022,12.9022
7569,0.519728,-0.645166,-0.880917,16.1744,16.1744
7570,0.476779,-0.528289,-0.632478,16.5229,16.5229
7571,0.436953,-0.298206,-0.522622,16.9207,16.9207
7572,-0.385292,0.21592,-1.16506,15.4046,15.4046
7573,-1.04361,0.31603,-1.4927,14.4408,14.4408
7574,-1.04868,-0.43787,-0.9638,13.1694,13.1694
7575,-0.8557,-0.649026,-1.43325,12.4924,12.4924
7576,-0.568987,-0.494513,-1.43055,13.2472,13.2472
7577,-0.732142,-0.213111,-1.56821,13.4235,13.4235
7578,-0.868936,0.00767802,-1.72092,13.6244,13.6244
7579,-0.982184,0.157068,-1.79343,13.8192,13.8192
7580,-1.1515,0.0203196,-1.70498,13.3081,13.3081
7581,-1.0305,-0.443918,-1.32938,12.7382,12.7382
7582,-0.307772,-0.956624,-0.962133,13.5516,13.5516
7583,0.523269,-0.676533,-1.06202,15.9431,15.9431
7584,0.800588,0.12977,-1.38323,17.9424,17.9424
7585,0.71486,0.417942,-1.22436,18.4535,18.4535
7586,0.54866,0.675596,-1.02557,18.8446,18.8446
7587,-0.0420735,-0.545305,-0.794366,14.9436,14.9436
7588,-1.01639,-0.251292,-1.66057,12.8484,12.8484
